conductivity,coords,dT_dt,density,object,object_id,temperature,viscosity,zminus_index,zplus_index
80.0,4440.0,-0.00030376005643120154,0.0,0.1,B220,2175.1408295085603,0.0,221,223
80.0,4460.0,-0.0003020601511707355,0.0,0.1,B221,2175.805651702468,0.0,222,224
80.0,4480.0,-0.00030459864392469167,0.0,0.1,B222,2176.4689529996244,0.0,223,225
80.0,4500.0,-0.0003030166176358762,0.0,0.1,B223,2177.1307416048594,0.0,224,226
80.0,4520.0,-0.00030539377703462376,0.0,0.1,B224,2177.7910052290417,0.0,225,227
80.0,4540.0,-0.0003039308765437454,0.0,0.1,B225,2178.4497514844884,0.0,226,228
80.0,4560.0,-0.00030614546803917617,0.0,0.1,B226,2179.1069688918224,0.0,227,229
80.0,4580.0,-0.00030480285740850375,0.0,0.1,B227,2179.7626644648217,0.0,228,230
80.0,4600.0,-0.0003068537403123628,0.0,0.1,B228,2180.4168275398006,0.0,229,231
80.0,4620.0,-0.0003056325004763494,0.0,0.1,B229,2181.069464526384,0.0,230,232
80.0,4640.0,-0.0003075186284149823,0.0,0.1,B230,2181.7205655820458,0.0,231,233
80.0,4660.0,-0.0003064197566345683,0.0,0.1,B231,2182.370136507065,0.0,232,234
80.0,4680.0,-0.00030814017827651696,0.0,0.1,B232,2183.0181682850675,0.0,233,235
80.0,4700.0,-0.00030716458759343367,0.0,0.1,B233,2183.6646661022096,0.0,234,236
80.0,4720.0,-0.00030871844728608266,0.0,0.1,B234,2184.309621772787,0.0,235,237
80.0,4740.0,-0.0003078669657043065,0.0,0.1,B235,2184.953039864482,0.0,236,238
80.0,4760.0,-0.0003092535042014788,0.0,0.1,B236,2185.594913026298,0.0,237,239
80.0,4780.0,-0.00030852687395963583,0.0,0.1,B237,2186.2352452035148,0.0,238,240
80.0,4800.0,-0.00030974542914918857,0.0,0.1,B238,2186.874029883398,0.0,239,241
80.0,4820.0,-0.00030914430653865564,0.0,0.1,B239,2187.51127038533,0.0,240,242
80.0,4840.0,-0.0003101943137153284,0.0,0.1,B240,2188.1469610379054,0.0,241,243
80.0,4860.0,-0.00030971926844358677,0.0,0.1,B241,2188.781104531543,0.0,242,244
80.0,4880.0,-0.00031060026049090084,0.0,0.1,B242,2189.413696038745,0.0,243,245
80.0,4900.0,-0.000310251775681536,0.0,0.1,B243,2190.0447376183365,0.0,244,246
80.0,4920.0,-0.00031096338343559186,0.0,0.1,B244,2190.6742252888184,0.0,245,247
80.0,4940.0,-0.0003107418556282937,0.0,0.1,B245,2191.302160475222,0.0,246,248
80.0,4960.0,-0.00031128380787777133,0.0,0.1,B246,2191.9285400436474,0.0,247,249
80.0,4980.0,-0.00031118954593694075,0.0,0.1,B247,2192.553364783569,0.0,248,250
80.0,5000.0,-0.0003115616703325941,0.0,0.1,B248,2193.1766324097953,0.0,249,251
80.0,5020.0,-0.0003115948962658876,0.0,0.1,B249,2193.7983430749155,0.0,250,252
40.0,5040.0,-0.00031179711859294915,0.0,1.0,B250,2194.4184953430636,0.0,251,253
40.0,5060.0,-0.00031191659195428656,0.0,1.0,B251,2195.035529846898,0.0,252,254
40.0,5080.0,-0.00031202554473566126,0.0,1.0,B252,2195.6494452111147,0.0,253,255
40.0,5100.0,-0.0003121116234979127,0.0,1.0,B253,2196.260240377069,0.0,254,256
40.0,5120.0,-0.0003121769909284922,0.0,1.0,B254,2196.8679144785665,0.0,255,257
40.0,5140.0,-0.00031222132192851857,0.0,1.0,B255,2197.472466862746,0.0,256,258
40.0,5160.0,-0.00031224472199937737,0.0,1.0,B256,2198.073897086033,0.0,257,259
40.0,5180.0,-0.000312247225383544,0.0,1.0,B257,2198.6722049143423,0.0,258,260
40.0,5200.0,-0.0003122288822396513,0.0,1.0,B258,2199.2673903225136,0.0,259,261
